Online Status,image,accession_no,accession_year,title,region,creator,year_period,time_category,object_type,technique,material,description,dimension,credit_line,collection_of,item_id,item_url
On Roots,https://www.roots.gov.sg/CollectionImages/1212911.jpg,2008-00473,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.5 cm,,National Museum of Singapore,1212911,https://www.roots.gov.sg/Collection-Landing/listing/1212911
On Roots,https://www.roots.gov.sg/CollectionImages/1213533.jpg,2008-00495,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.5 cm,,National Museum of Singapore,1213533,https://www.roots.gov.sg/Collection-Landing/listing/1213533
On Roots,https://www.roots.gov.sg/CollectionImages/1212356.jpg,2008-00471,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.6 cm,,National Museum of Singapore,1212356,https://www.roots.gov.sg/Collection-Landing/listing/1212356
On Roots,https://www.roots.gov.sg/CollectionImages/1212270.jpg,2008-00430,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 13.2 cm,,National Museum of Singapore,1212270,https://www.roots.gov.sg/Collection-Landing/listing/1212270
On Roots,https://www.roots.gov.sg/CollectionImages/1214674.jpg,2008-00442,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 13.4 cm,,National Museum of Singapore,1214674,https://www.roots.gov.sg/Collection-Landing/listing/1214674
On Roots,https://www.roots.gov.sg/CollectionImages/1211015.jpg,2008-00485,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.6 cm,,National Museum of Singapore,1211015,https://www.roots.gov.sg/Collection-Landing/listing/1211015
On Roots,https://www.roots.gov.sg/CollectionImages/1211487.jpg,2008-00445,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.6 cm,,National Museum of Singapore,1211487,https://www.roots.gov.sg/Collection-Landing/listing/1211487
On Roots,https://www.roots.gov.sg/CollectionImages/1212880.jpg,2008-00437,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.5 cm,,National Museum of Singapore,1212880,https://www.roots.gov.sg/Collection-Landing/listing/1212880
On Roots,https://www.roots.gov.sg/CollectionImages/1210615.jpg,2008-00481,2008,Residents of Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.6 cm,,National Museum of Singapore,1210615,https://www.roots.gov.sg/Collection-Landing/listing/1210615
On Roots,https://www.roots.gov.sg/CollectionImages/1212765.jpg,2008-00448,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 13.2 x 10.5 cm,,National Museum of Singapore,1212765,https://www.roots.gov.sg/Collection-Landing/listing/1212765
On Roots,https://www.roots.gov.sg/CollectionImages/1213186.jpg,2008-00461,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.6 cm,,National Museum of Singapore,1213186,https://www.roots.gov.sg/Collection-Landing/listing/1213186
On Roots,https://www.roots.gov.sg/CollectionImages/1211516.jpg,2008-00467,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.6 x 13.1 cm,,National Museum of Singapore,1211516,https://www.roots.gov.sg/Collection-Landing/listing/1211516
On Roots,https://www.roots.gov.sg/CollectionImages/1210451.jpg,2008-00431,2008,A man standing in front of the Asiatic Petroleum Company building on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","paper (fiber product), ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 13.3 x 10.4 cm,,National Museum of Singapore,1210451,https://www.roots.gov.sg/Collection-Landing/listing/1210451
On Roots,https://www.roots.gov.sg/CollectionImages/1213010.jpg,2008-00499,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.6 cm,,National Museum of Singapore,1213010,https://www.roots.gov.sg/Collection-Landing/listing/1213010
On Roots,https://www.roots.gov.sg/CollectionImages/1210214.jpg,2008-00474,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.4 cm,,National Museum of Singapore,1210214,https://www.roots.gov.sg/Collection-Landing/listing/1210214
On Roots,https://www.roots.gov.sg/CollectionImages/1212300.jpg,2008-00446,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.6 cm,,National Museum of Singapore,1212300,https://www.roots.gov.sg/Collection-Landing/listing/1212300
On Roots,https://www.roots.gov.sg/CollectionImages/1211764.jpg,2008-00432,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.3 x 12.5 cm,,National Museum of Singapore,1211764,https://www.roots.gov.sg/Collection-Landing/listing/1211764
On Roots,https://www.roots.gov.sg/CollectionImages/1210502.jpg,2008-00484,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.6 cm,,National Museum of Singapore,1210502,https://www.roots.gov.sg/Collection-Landing/listing/1210502
On Roots,https://www.roots.gov.sg/CollectionImages/1212163.jpg,2008-00488,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.6 cm,,National Museum of Singapore,1212163,https://www.roots.gov.sg/Collection-Landing/listing/1212163
On Roots,https://www.roots.gov.sg/CollectionImages/1212548.jpg,2008-00498,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.6 cm,,National Museum of Singapore,1212548,https://www.roots.gov.sg/Collection-Landing/listing/1212548
On Roots,https://www.roots.gov.sg/CollectionImages/1212950.jpg,2008-00470,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 7.6 x 11.2 cm,,National Museum of Singapore,1212950,https://www.roots.gov.sg/Collection-Landing/listing/1212950
On Roots,https://www.roots.gov.sg/CollectionImages/1214294.jpg,2008-00475,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.4 cm,,National Museum of Singapore,1214294,https://www.roots.gov.sg/Collection-Landing/listing/1214294
On Roots,https://www.roots.gov.sg/CollectionImages/1212059.jpg,2008-00455,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 13.2 x 10.9 cm,,National Museum of Singapore,1212059,https://www.roots.gov.sg/Collection-Landing/listing/1212059
On Roots,https://www.roots.gov.sg/CollectionImages/1213932.jpg,2008-00477,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.5 cm,,National Museum of Singapore,1213932,https://www.roots.gov.sg/Collection-Landing/listing/1213932
On Roots,https://www.roots.gov.sg/CollectionImages/1213578.jpg,2008-00441,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 13.4 x 10.7 cm,,National Museum of Singapore,1213578,https://www.roots.gov.sg/Collection-Landing/listing/1213578
On Roots,https://www.roots.gov.sg/CollectionImages/1214919.jpg,2008-00459,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.3 x 12.7 cm,,National Museum of Singapore,1214919,https://www.roots.gov.sg/Collection-Landing/listing/1214919
On Roots,https://www.roots.gov.sg/CollectionImages/1213202.jpg,2008-00491,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.6 x 13.2 cm,,National Museum of Singapore,1213202,https://www.roots.gov.sg/Collection-Landing/listing/1213202
On Roots,https://www.roots.gov.sg/CollectionImages/1214782.jpg,2008-00486,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.6 x 13.2 cm,,National Museum of Singapore,1214782,https://www.roots.gov.sg/Collection-Landing/listing/1214782
On Roots,https://www.roots.gov.sg/CollectionImages/1213941.jpg,2008-00496,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.5 cm,,National Museum of Singapore,1213941,https://www.roots.gov.sg/Collection-Landing/listing/1213941
On Roots,https://www.roots.gov.sg/CollectionImages/1211147.jpg,2008-00439,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.8 cm,,National Museum of Singapore,1211147,https://www.roots.gov.sg/Collection-Landing/listing/1211147
On Roots,https://www.roots.gov.sg/CollectionImages/1213151.jpg,2008-00434,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.6 x 12.7 cm,,National Museum of Singapore,1213151,https://www.roots.gov.sg/Collection-Landing/listing/1213151
On Roots,https://www.roots.gov.sg/CollectionImages/1213732.jpg,2008-00444,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.5 cm,,National Museum of Singapore,1213732,https://www.roots.gov.sg/Collection-Landing/listing/1213732
On Roots,https://www.roots.gov.sg/CollectionImages/1214005.jpg,2008-00440,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 13 cm,,National Museum of Singapore,1214005,https://www.roots.gov.sg/Collection-Landing/listing/1214005
On Roots,https://www.roots.gov.sg/CollectionImages/1212826.jpg,2008-00479,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.6 cm,,National Museum of Singapore,1212826,https://www.roots.gov.sg/Collection-Landing/listing/1212826
On Roots,https://www.roots.gov.sg/CollectionImages/1210985.jpg,2008-00480,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.6 cm,,National Museum of Singapore,1210985,https://www.roots.gov.sg/Collection-Landing/listing/1210985
On Roots,https://www.roots.gov.sg/CollectionImages/1214474.jpg,2008-00476,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.5 cm,,National Museum of Singapore,1214474,https://www.roots.gov.sg/Collection-Landing/listing/1214474
On Roots,https://www.roots.gov.sg/CollectionImages/1211528.jpg,2008-00492,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.6 x 13.2 cm,,National Museum of Singapore,1211528,https://www.roots.gov.sg/Collection-Landing/listing/1211528
On Roots,https://www.roots.gov.sg/CollectionImages/1214827.jpg,2008-00465,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.7 x 13.3 cm,,National Museum of Singapore,1214827,https://www.roots.gov.sg/Collection-Landing/listing/1214827
On Roots,https://www.roots.gov.sg/CollectionImages/1214810.jpg,2008-00436,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.5 cm,,National Museum of Singapore,1214810,https://www.roots.gov.sg/Collection-Landing/listing/1214810
On Roots,https://www.roots.gov.sg/CollectionImages/1214746.jpg,2008-00438,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.6 cm,,National Museum of Singapore,1214746,https://www.roots.gov.sg/Collection-Landing/listing/1214746
On Roots,https://www.roots.gov.sg/CollectionImages/1212409.jpg,2008-00494,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.9 cm,,National Museum of Singapore,1212409,https://www.roots.gov.sg/Collection-Landing/listing/1212409
On Roots,https://www.roots.gov.sg/CollectionImages/1214599.jpg,2008-00487,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 13.2 cm,,National Museum of Singapore,1214599,https://www.roots.gov.sg/Collection-Landing/listing/1214599
On Roots,https://www.roots.gov.sg/CollectionImages/1213218.jpg,2008-00497,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.9 cm,,National Museum of Singapore,1213218,https://www.roots.gov.sg/Collection-Landing/listing/1213218
On Roots,https://www.roots.gov.sg/CollectionImages/1210625.jpg,2008-00435,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.5 cm,,National Museum of Singapore,1210625,https://www.roots.gov.sg/Collection-Landing/listing/1210625
On Roots,https://www.roots.gov.sg/CollectionImages/1212216.jpg,2008-00457,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.7 x 13.2 cm,,National Museum of Singapore,1212216,https://www.roots.gov.sg/Collection-Landing/listing/1212216
On Roots,https://www.roots.gov.sg/CollectionImages/1214834.jpg,2008-00503,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.8 cm,,National Museum of Singapore,1214834,https://www.roots.gov.sg/Collection-Landing/listing/1214834
On Roots,https://www.roots.gov.sg/CollectionImages/1212571.jpg,2008-00483,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.8 cm,,National Museum of Singapore,1212571,https://www.roots.gov.sg/Collection-Landing/listing/1212571
On Roots,https://www.roots.gov.sg/CollectionImages/1213744.jpg,2008-00500,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.6 cm,,National Museum of Singapore,1213744,https://www.roots.gov.sg/Collection-Landing/listing/1213744
On Roots,https://www.roots.gov.sg/CollectionImages/1211055.jpg,2008-00433,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.7 cm,,National Museum of Singapore,1211055,https://www.roots.gov.sg/Collection-Landing/listing/1211055
On Roots,https://www.roots.gov.sg/CollectionImages/1213486.jpg,2008-00460,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: :10.5 x W:12.5cm,,National Museum of Singapore,1213486,https://www.roots.gov.sg/Collection-Landing/listing/1213486
On Roots,https://www.roots.gov.sg/CollectionImages/1212133.jpg,2008-00451,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.5 cm,,National Museum of Singapore,1212133,https://www.roots.gov.sg/Collection-Landing/listing/1212133
On Roots,https://www.roots.gov.sg/CollectionImages/1211662.jpg,2008-00447,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.6 x 12.5 cm,,National Museum of Singapore,1211662,https://www.roots.gov.sg/Collection-Landing/listing/1211662
On Roots,https://www.roots.gov.sg/CollectionImages/1210389.jpg,2008-00463,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.3 x 12.6 cm,,National Museum of Singapore,1210389,https://www.roots.gov.sg/Collection-Landing/listing/1210389
On Roots,https://www.roots.gov.sg/CollectionImages/1210586.jpg,2008-00502,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.8 cm,,National Museum of Singapore,1210586,https://www.roots.gov.sg/Collection-Landing/listing/1210586
On Roots,https://www.roots.gov.sg/CollectionImages/1211779.jpg,2008-00493,2008,Factory on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.5 cm,,National Museum of Singapore,1211779,https://www.roots.gov.sg/Collection-Landing/listing/1211779
